species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3,spec_code,genus,order,temp_min,temp_max,temp_preferred,temp_range,fecundity_max,fecundity_mean,body_shape_i,longevity_wild,oxygen_cons,dev_place,sp_richness,iucn_category,fishbase_name
Anarhichas lupus,Anarhichadidae,1955000,habitat_coastal,demersal,150,NA,81375.50792,0.104945385,3.55,Actinopteri,0.029410133,0.029410133,69.37218463,0.0034,0.75925,NA,0.178161494,46.24625559,NA,0.178161494,46.24625559,-1,2,2,2: low/mid,2,2501,Anarhichas,Perciformes/Zoarcoidei,NA,NA,9,NA,NA,NA,elongated,NA,NA,non-planktonic,5,DD,Atlantic wolffish
Anchoa nasus,Engraulidae,865000,habitat_coastal,pelagic-neritic,17,NA,7225.316677,1.296884333,3.33,Actinopteri,0.020686774,0.020686774,1.207703124,8.13e-6,0.32,NA,0.01053902,45.03604219,NA,0.01053902,45.03604219,-2,2,2,2: low/mid,2,1163,Anchoa,Clupeiformes,NA,NA,NA,NA,NA,NA,elongated,NA,NA,NA,155,LC,Longnose anchovy
Anodontostoma chacunda,Clupeidae,8597500,habitat_coastal,pelagic-neritic,22,NA,116060.5257,1.401207267,2.931353828,Actinopteri,0.0013065,0.0013065,69.37218463,8.13e-6,0.3026,NA,0.011600655,48.0516869,NA,0.011600655,48.0516869,-2,2,2,2: low/mid,2,1619,Anodontostoma,Clupeiformes,NA,NA,28,NA,1144871,686717,fusiform / normal,NA,NA,NA,15,LC,Chacunda gizzard shad
Anoplopoma fimbria,Anoplopomatidae,2682500,deep,bathydemersal,120,NA,951557.8095,0.035406384,3.84,Actinopteri,0.040637322,0.040637322,220.625,0.0034,0.3026,NA,0.053184689,68.06949429,NA,0.053184689,68.06949429,-2,3,8,3: mid/high,3,512,Anoplopoma,Perciformes/Cottoidei,NA,NA,9,NA,966900,576079.5,fusiform / normal,94,39.06,planktonic,2,NA,Sablefish
Antimora rostrata,Moridae,222710000,deep,bathypelagic,75,NA,486.5318366,0.11723796,3.622450288,Actinopteri,23.22898081,23.22898081,537466.5429,5.55,91382,NA,605.7281747,59.05118314,NA,605.7281747,59.05118314,2,2,3,6: high/mid,6,2005,Antimora,Gadiformes,NA,NA,27,NA,NA,NA,elongated,43,NA,NA,108,LC,Blue antimora
Aphanopus carbo,Trichiuridae,2627500,deep,bathypelagic,151,NA,84676.53886,0.346089063,4.462972912,Actinopteri,0.04451615,0.04451615,220.625,0.0034,0.764606108,NA,0.153992976,47.82132679,NA,0.153992976,47.82132679,-1,2,2,2: low/mid,2,646,Aphanopus,Scombriformes,NA,NA,10,NA,NA,NA,eel-like,NA,NA,planktonic,46,LC,Black scabbardfish
Aphareus rutilans,Lutjanidae,9965000,habitat_reef,reef-associated,110,NA,1738.87445,0.312215755,4.117424722,Actinopteri,0.025016,0.025016,39.83,0.0034,0.145837,NA,0.06631216,39.02680102,NA,0.06631216,39.02680102,-2,2,2,2: low/mid,2,83,Aphareus,Eupercaria/misc,NA,NA,27,NA,NA,NA,fusiform / normal,NA,NA,NA,113,LC,Rusty jobfish
Aphia minuta,Gobiidae,2717500,habitat_coastal,pelagic-neritic,7.900000095,NA,40.81806963,1.70140334,3.174171555,Actinopteri,0.020686774,0.020686774,5.523838677,8.13e-6,0.275045451,NA,0.010145803,36.33979585,NA,0.010145803,36.33979585,-2,2,2,2: low/mid,2,39,Aphia,Gobiiformes,NA,NA,NA,NA,2648,1791.5,elongated,1,NA,planktonic,1883,LC,Transparent goby
Aplodactylus punctatus,Aplodactylidae,240000,habitat_coastal,demersal,43.70000076,NA,41.96266255,0.630179269,2.04,Actinopteri,0.003297,0.003297,9.682782451,6.45e-6,0.060991803,NA,0.008592224,36.22505093,NA,0.008592224,36.22505093,-3,2,2,2: low/mid,2,12909,Aplodactylus,Centrarchiformes,NA,NA,NA,NA,NA,NA,elongated,NA,NA,NA,5,NA,NA
Aprion virescens,Lutjanidae,12892500,habitat_reef,reef-associated,112,NA,113.3144342,0.58848637,4.28,Actinopteri,0.027348309,0.027348309,220.625,0.00123027,8.5,NA,0.216639133,30.80563369,NA,0.216639133,30.80563369,-1,2,2,2: low/mid,2,84,Aprion,Eupercaria/misc,NA,NA,NA,NA,NA,NA,fusiform / normal,32,NA,NA,113,LC,Green jobfish
Apsilus fuscus,Lutjanidae,512500,habitat_reef,demersal,75,NA,3.139397329,0.591196273,4.005355048,Actinopteri,0.029410133,0.029410133,7.849166287,0.002075459,0.341291664,NA,0.066938646,27.27816842,NA,0.066938646,27.27816842,-2,1,4,1: mid/low,1,86,Apsilus,Eupercaria/misc,NA,NA,NA,NA,NA,NA,fusiform / normal,NA,NA,NA,113,LC,African forktail snapper
Archosargus probatocephalus,Sparidae,2200000,habitat_reef,reef-associated,91,NA,6582.156033,0.609579594,3.575754586,Actinopteri,0.145837,0.145837,69.37218463,0.020686774,0.32,NA,0.073670553,29.87434992,NA,0.073670553,29.87434992,-2,1,4,1: mid/low,1,441,Archosargus,Eupercaria/misc,NA,NA,25,NA,NA,NA,short and / or deep,NA,NA,NA,162,LC,Sheepshead
Arctoscopus japonicus,Trichodontidae,1677500,habitat_benthic,bathydemersal,30,NA,108251.2158,0.630179269,3.557076306,Actinopteri,0.003297,0.003297,3.790022135,8.13e-6,0.218337659,NA,0.008237489,49.22814017,NA,0.008237489,49.22814017,-3,2,2,2: low/mid,2,463,Arctoscopus,Perciformes/Uranoscopoidei,NA,NA,5,NA,1700,1150,fusiform / normal,6,NA,planktonic,2,NA,Japanese sandfish
Argentina silus,Argentinidae,2310000,pelagic,bathypelagic,70,NA,2785.434725,0.073400392,3.32,Actinopteri,0.190553387,0.190553387,69.37218463,0.025016,0.764606108,NA,0.070593803,53.94832547,NA,0.070593803,53.94832547,-2,2,2,2: low/mid,2,2700,Argentina,Argentiniformes,NA,NA,7,NA,15087.333333333334,10163.166666666668,elongated,35,NA,planktonic,28,LC,Greater argentine
Argentina sphyraena,Argentinidae,2555000,pelagic,bathydemersal,35,NA,5669.679004,0.227703191,3.49,Actinopteri,0.218337659,0.218337659,69.37218463,0.020686774,0.419377278,NA,0.029892702,33.27998698,NA,0.029892702,33.27998698,-2,2,2,2: low/mid,2,20,Argentina,Argentiniformes,NA,NA,16,NA,NA,NA,elongated,16,NA,planktonic,28,LC,Argentine
Argyrops spinifer,Sparidae,13112500,habitat_coastal,demersal,80,NA,11308.83887,0.494486133,4.49,Actinopteri,0.25,0.25,93840.98602,0.004279988,23.22898081,NA,1.953381073,32.64854032,NA,1.953381073,32.64854032,0,2,6,5: mid/mid,5,442,Argyrops,Eupercaria/misc,NA,NA,27,NA,1240000,643500,short and / or deep,NA,NA,NA,162,LC,King soldierbream
Argyrosomus hololepidotus,Sciaenidae,347500,habitat_coastal,demersal,200,NA,81983.30163,0.227953054,4.48,Actinopteri,0.003297,0.003297,24.63249455,6.45e-6,0.525706192,NA,0.036973996,39.22667388,NA,0.036973996,39.22667388,-2,2,2,2: low/mid,2,419,Argyrosomus,Eupercaria/misc,13,24,24,11,NA,NA,fusiform / normal,30,NA,NA,293,EN,Southern meagre
Argyrosomus regius,Sciaenidae,1400000,migratory,benthopelagic,230,NA,35019.83379,0.149075294,4.285529247,Actinopteri,0.04451615,0.04451615,359.0771463,0.0034,2.43042486,NA,0.255976844,50.3067819,NA,0.255976844,50.3067819,-1,2,2,2: low/mid,2,418,Argyrosomus,Eupercaria/misc,NA,NA,18,NA,NA,NA,fusiform / normal,NA,NA,NA,293,LC,Meagre
Arripis trutta,Arripidae,930000,habitat_coastal,pelagic-neritic,89,NA,45063.22021,0.285831282,4.07,Actinopteri,0.04451615,0.04451615,7.78,0.015758747,0.331883112,NA,0.070717714,41.8810772,NA,0.070717714,41.8810772,-2,2,2,2: low/mid,2,5048,Arripis,Scombriformes,NA,NA,15,NA,1729489,900384,fusiform / normal,26,NA,planktonic,4,NA,Australian salmon
Atheresthes evermanni,Pleuronectidae,1745000,habitat_benthic,demersal,100,NA,47522.58494,0.172236506,4.3,Actinopteri,0.021204,0.021204,7.78,0.003297,0.04451615,NA,0.051019722000000003,54.73702402,NA,0.051019722000000003,54.73702402,-2,2,2,2: low/mid,2,518,Atheresthes,Pleuronectiformes,NA,NA,5,NA,NA,NA,short and / or deep,33,NA,planktonic,62,LC,Kamchatka flounder
Atheresthes stomias,Pleuronectidae,1287500,habitat_benthic,demersal,84,NA,3356654.472,0.192836543,4.17,Actinopteri,0.04451615,0.04451615,4.17,0.007726488,0.331883112,NA,0.048054146,53.2907325,NA,0.048054146,53.2907325,-2,2,2,2: low/mid,2,517,Atheresthes,Pleuronectiformes,NA,NA,7,NA,2340000,1295000,short and / or deep,23,NA,planktonic,62,LC,Arrow-tooth flounder
Atherina boyeri,Atherinidae,1385000,habitat_coastal,demersal,20,NA,5070.648817,0.812586347,3.286241238,Actinopteri,0.020686774,0.020686774,1.207703124,8.13e-6,0.32,NA,0.010570616,37.62859705,NA,0.010570616,37.62859705,-2,2,2,2: low/mid,2,1696,Atherina,Atheriniformes,NA,NA,11,NA,5317.5,2782.75,elongated,4,NA,non-planktonic,69,LC,Big-scale sand smelt
Atractoscion aequidens,Sciaenidae,4040000,habitat_coastal,benthopelagic,130,NA,2288.230401,0.311853212,4.481651192,Actinopteri,0.04451615,0.04451615,42.10249306,0.014020895,0.25,NA,0.074052187,38.08580397,NA,0.074052187,38.08580397,-2,2,2,2: low/mid,2,420,Atractoscion,Eupercaria/misc,NA,NA,25,NA,NA,NA,fusiform / normal,NA,NA,planktonic,293,VU,Geelbeck croaker
Atractoscion nobilis,Sciaenidae,522500,habitat_coastal,demersal,166,NA,1870.644824,0.296616436,4.332225091,Actinopteri,0.025016,0.025016,69.37218463,0.0034,7.78,NA,0.226850081,36.46230551,NA,0.226850081,36.46230551,-1,2,2,2: low/mid,2,3578,Atractoscion,Eupercaria/misc,NA,NA,12,NA,NA,7100000,fusiform / normal,20,NA,NA,293,LC,White weakfish
Atrobucca nibe,Sciaenidae,9827500,habitat_coastal,demersal,45,NA,25016.42764,0.460821512,3.977337618,Actinopteri,0.048,0.048,23.36565604,0.0013065,0.77,NA,0.069195712,27.85452849,NA,0.069195712,27.85452849,-2,1,4,1: mid/low,1,941,Atrobucca,Eupercaria/misc,NA,NA,28,NA,NA,NA,fusiform / normal,NA,NA,NA,293,LC,Blackmouth croaker
Atule mate,Carangidae,11757500,habitat_reef,reef-associated,30,NA,1356.375346,1.254655656,4.22,Actinopteri,2.14e-4,2.14e-4,9.398965353,8.13e-6,0.024080979,NA,0.018833517,43.36994665,NA,0.018833517,43.36994665,-2,2,2,2: low/mid,2,1893,Atule,Carangiformes,NA,NA,27,NA,161000,112000,fusiform / normal,NA,NA,planktonic,148,LC,Yellowtail scad
Austroglossus microlepis,Soleidae,307500,habitat_benthic,bathydemersal,75,NA,11375.11571,0.185580881,3.529058885,Actinopteri,0.003297,0.003297,0.902079429,6.45e-6,0.025016,NA,0.007072819,53.50886061,NA,0.007072819,53.50886061,-3,2,2,2: low/mid,2,527,Austroglossus,Pleuronectiformes,NA,NA,17,NA,NA,NA,short and / or deep,NA,NA,NA,185,DD,West coast sole
Austroglossus pectoralis,Soleidae,172500,habitat_benthic,demersal,60,NA,9694.211567,0.267643426,4.0427116,Actinopteri,0.00123027,0.00123027,0.545169455,6.45e-6,0.025016,NA,0.006612068,53.00643939,NA,0.006612068,53.00643939,-3,2,2,2: low/mid,2,528,Austroglossus,Pleuronectiformes,NA,NA,21,NA,NA,NA,short and / or deep,NA,NA,NA,185,DD,Mud sole
Auxis thazard,Scombridae,24452500,pelagic,pelagic-neritic,65,NA,1188784.853,0.704484871,4.37,Actinopteri,8.5,8.5,138546.9177,0.021204,28773,NA,3.260000898,23.71398908,10,3.260000898,10,0,1,4,1: mid/low,1,94,Auxis,Scombriformes,27,27.8999996185303,27,0.8999996185302983,1266666.6666666667,702833.3333333334,fusiform / normal,5,NA,planktonic,54,LC,Frigate tuna
Balistes capriscus,Balistidae,5260000,habitat_reef,reef-associated,60,grey triggerfish,459.8551277,0.824568385,4.06,Actinopteri,0.0013065,0.0013065,69.37218463,0.0013065,0.054107361,0.0013065,0.071384819,34.49780138,NA,0.0013065,34.49780138,-3,2,2,2: low/mid,2,7327,Balistes,Tetraodontiformes,NA,NA,24,NA,1990000,1165000,short and / or deep,15,94.83333333333333,NA,42,VU,Grey triggerfish
Belone belone,Belonidae,2555000,pelagic,pelagic-oceanic,104,NA,26192.69803,0.478994871,4.16,Actinopteri,0.04451615,0.04451615,220.625,0.014020895,0.764606108,NA,0.083870263,28.82918244,NA,0.083870263,28.82918244,-2,1,4,1: mid/low,1,47,Belone,Beloniformes,NA,NA,16,NA,34295.6,19251.6,elongated,NA,NA,planktonic,47,LC,Garfish
Beryx decadactylus,Berycidae,19952500,habitat_deep,bathydemersal,100,NA,10665.2007,0.158706812,4.136103002,Actinopteri,5.55,5.55,91382,0.019379506,23.92044613,NA,2.895392957,36.48172493,NA,2.895392957,36.48172493,0,2,6,5: mid/mid,5,1319,Beryx,Beryciformes,NA,NA,24,NA,NA,NA,fusiform / normal,69,NA,NA,10,LC,Alfonsino
Beryx splendens,Berycidae,17805000,habitat_deep,benthopelagic,70,NA,11085.67752,0.241932168,4.27,Actinopteri,4.17,4.17,91382,0.027348309,23.22898081,NA,2.839654502,35.84925657,NA,2.839654502,35.84925657,0,2,6,5: mid/mid,5,1320,Beryx,Beryciformes,NA,NA,27,NA,675000,472500,fusiform / normal,23,NA,planktonic,10,LC,Splendid alfonsino
Bolbometopon muricatum,Scaridae,10460000,habitat_reef,reef-associated,130,NA,921.481753,0.236827261,2.772588524,Actinopteri,0.029410133,0.029410133,42.10249306,0.0034,0.764606108,NA,0.082195925,37.50414119,31,0.082195925,31,-2,2,2,2: low/mid,2,5537,Bolbometopon,Eupercaria/misc,NA,NA,28,NA,NA,NA,fusiform / normal,NA,NA,NA,100,VU,Green humphead parrotfish
Boops boops,Sparidae,2757500,pelagic,demersal,40,NA,289938.8997,0.47071232,2.79,Actinopteri,0.3026,0.3026,69.37218463,0.218337659,0.524649642,NA,0.059946569,35.70276038,16.8,0.059946569,16.8,-2,1,4,1: mid/low,1,203,Boops,Eupercaria/misc,NA,NA,21,NA,211295,111521,fusiform / normal,11,NA,planktonic,162,LC,Bogue
Boreogadus saida,Gadidae,4780000,migratory,demersal,40,artic cod,272362.6872,0.37076155,3.12,Actinopteri,0.222006046,0.222006046,4.17,0.218337659,0.419377278,0.218337659,0.059487906,41.14519734,NA,0.218337659,41.14519734,-1,2,2,2: low/mid,2,319,Boreogadus,Gadiformes,-2,8,-1,10,43066.666666666664,29883.333333333332,elongated,7,53.8,planktonic,22,LC,Polar cod
Bothus pantherinus,Bothidae,9750000,habitat_benthic,reef-associated,39,NA,223.1836131,0.785631156,3.547737166,Actinopteri,0.060991803,0.060991803,9.398965353,0.0013065,0.419377278,NA,0.041860446,47.33313183,NA,0.041860446,47.33313183,-2,2,2,2: low/mid,2,1321,Bothus,Pleuronectiformes,NA,NA,27,NA,NA,NA,short and / or deep,NA,NA,NA,172,LC,Leopard flounder
Brachydeuterus auritus,Haemulidae,650000,habitat_coastal,benthopelagic,30,NA,70828.46313,0.674190072,3.108797573,Actinopteri,0.020686774,0.020686774,9.682782451,8.13e-6,0.311178405,NA,0.011016187,37.21221915,NA,0.011016187,37.21221915,-2,2,2,2: low/mid,2,400,Brachydeuterus,Eupercaria/misc,NA,NA,25,NA,NA,NA,fusiform / normal,7,NA,NA,133,NT,Bigeye grunt
Brama brama,Bramidae,140227500,migratory,pelagic-neritic,100,NA,70090.69367,0.25373223,4.089407301,Actinopteri,24.63249455,24.63249455,537466.5429,0.524649642,91382,NA,394.0351897,46.54465969,NA,394.0351897,46.54465969,2,2,3,6: high/mid,6,391,Brama,Scombriformes,12,24,23,12,NA,NA,short and / or deep,9,NA,planktonic,20,LC,Atlantic pomfret
Bregmaceros mcclellandi,Bregmacerotidae,62220000,pelagic,pelagic-oceanic,9.600000381,NA,24255.36307,0.389520618,3.36095436,Actinopteri,0.3026,0.3026,91382,2.14e-4,23.22898081,NA,0.745981378,36.11200266,NA,0.745981378,36.11200266,-1,2,2,2: low/mid,2,8421,Bregmaceros,Gadiformes,NA,NA,28,NA,NA,NA,elongated,NA,NA,planktonic,15,NA,Unicorn cod
Brevoortia aurea,Clupeidae,317500,habitat_coastal,pelagic-neritic,34.40000153,NA,7670.443707,0.938769682,2.847301646,Actinopteri,8.13e-6,8.13e-6,4.033909035,6.45e-6,0.049784973,NA,0.005149261,37.07042123,NA,0.005149261,37.07042123,-3,2,2,2: low/mid,2,1587,Brevoortia,Clupeiformes,NA,NA,18,NA,NA,NA,elongated,NA,NA,NA,15,LC,Brazilian menhaden
Brevoortia patronus,Clupeidae,485000,habitat_coastal,pelagic-neritic,35,NA,977143.8443,0.843108206,2.324309791,Actinopteri,0.025016,0.025016,69.37218463,0.0013065,0.222006046,NA,0.031898526,44.82612408,NA,0.031898526,44.82612408,-2,2,2,2: low/mid,2,1589,Brevoortia,Clupeiformes,NA,NA,24,NA,72633.33333333333,38816.666666666664,fusiform / normal,NA,NA,NA,15,LC,Gulf menhaden
Brevoortia tyrannus,Clupeidae,335000,migratory,pelagic-neritic,50,NA,762986.4651,0.72430685400000006,3.23,Actinopteri,0.003297,0.003297,69.37218463,6.45e-6,0.26653693,NA,0.010780456,41.24702549,NA,0.010780456,41.24702549,-2,2,2,2: low/mid,2,1592,Brevoortia,Clupeiformes,NA,26,15,NA,631000,334500,fusiform / normal,NA,376.2857142857143,planktonic,15,LC,Atlantic menhaden
Brosme brosme,Lotidae,2245000,habitat_benthic,demersal,120,NA,449997.8369,0.105232173,3.9,Actinopteri,0.029410133,0.029410133,7.78,0.0034,0.218337659,NA,0.049742023,59.60763704,NA,0.049742023,59.60763704,-2,2,2,2: low/mid,2,51,Brosme,Gadiformes,NA,NA,10,NA,3000000,2500000,elongated,20,NA,planktonic,5,LC,Cusk
